|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         1|       8459.000|        8348.000|    8469.000|      -50.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         1|       8459.000|        8348.000|    8469.000|      -50.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         1|       8459.000|        8348.000|    8469.000|      -50.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         7|       8459.000|        8348.000|    8469.000|     -350.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         3|       8459.000|        8348.000|    8469.000|     -150.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         2|       8459.000|        8348.000|    8469.000|     -100.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         3|       8459.000|        8348.000|    8469.000|     -150.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         1|       8459.000|        8348.000|    8469.000|      -50.00|                 0.000|
|20190521  |大商所  |铁矿石            |i1909           |20190422 |   卖|         3|        635.000|         707.500|     699.000|    -2550.00|                 0.000|
|20190521  |大商所  |线型低密度聚乙烯  |l1909           |20190517 |   卖|         4|       7785.000|        7910.000|    8005.000|     1900.00|                 0.000|
|20190521  |大商所  |线型低密度聚乙烯  |l1909           |20190517 |   卖|         2|       7785.000|        7910.000|    8005.000|      950.00|                 0.000|
|20190521  |大商所  |线型低密度聚乙烯  |l1909           |20190517 |   卖|         6|       7785.000|        7910.000|    8005.000|     2850.00|                 0.000|
|20190521  |大商所  |线型低密度聚乙烯  |l1909           |20190517 |   卖|         2|       7785.000|        7910.000|    8005.000|      950.00|                 0.000|
|20190521  |大商所  |线型低密度聚乙烯  |l1909           |20190517 |   卖|         6|       7785.000|        7910.000|    8005.000|     2850.00|                 0.000|
|20190521  |大商所  |线型低密度聚乙烯  |l1909           |20190517 |   卖|         1|       7795.000|        7910.000|    8040.000|      650.00|                 0.000|
|20190521  |大商所  |线型低密度聚乙烯  |l1909           |20190517 |   卖|        19|       7795.000|        7910.000|    8040.000|    12350.00|                 0.000|
|20190521  |大商所  |乙二醇            |eg1909          |20190521 |买   |         1|       4441.000|        4433.000|    4445.000|      -40.00|                 0.000|
|20190521  |大商所  |乙二醇            |eg1909          |20190521 |买   |         3|       4441.000|        4433.000|    4445.000|     -120.00|                 0.000|
|20190521  |大商所  |乙二醇            |eg1909          |20190521 |买   |         1|       4441.000|        4433.000|    4445.000|      -40.00|                 0.000|
|20190521  |大商所  |乙二醇            |eg1909          |20190521 |买   |         5|       4426.000|        4433.000|    4445.000|     -950.00|                 0.000|
|20190521  |上期所  |螺纹钢            |rb1910          |20190422 |买   |         2|       3789.000|        3775.000|    3801.000|     -520.00|                 0.000|
|20190521  |上期所  |螺纹钢            |rb1910          |20190422 |买   |         1|       3789.000|        3775.000|    3801.000|     -260.00|                 0.000|
|20190521  |上期所  |螺纹钢            |rb1910          |20190422 |买   |         2|       3789.000|        3775.000|    3801.000|     -520.00|                 0.000|
