|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190603|上期所  |石油沥青          |     bu1909     |   卖|投机        |  3112.000|     2|    62240.00|平今              |      6.26|       40.00|                 0.00|000001285470|
|20190603|上期所  |石油沥青          |     bu1909     |   卖|投机        |  3112.000|     1|    31120.00|平今              |      3.13|       20.00|                 0.00|000001285623|
|20190603|上期所  |石油沥青          |     bu1909     |   卖|投机        |  3112.000|     1|    31120.00|平今              |      3.13|       20.00|                 0.00|000001285624|
|20190603|上期所  |石油沥青          |     bu1909     |   卖|投机        |  3112.000|     1|    31120.00|平今              |      3.13|       20.00|                 0.00|000001285625|
|20190603|上期所  |石油沥青          |     bu1909     |   卖|投机        |  3112.000|     2|    62240.00|平今              |      6.26|       40.00|                 0.00|000001285626|
|20190603|上期所  |石油沥青          |     bu1909     |买   |投机        |  3108.000|    10|   310800.00|开                |     31.27|        0.00|                 0.00|000002015444|
|20190603|上期所  |石油沥青          |     bu1909     |   卖|投机        |  3110.000|     1|    31100.00|平今              |      3.13|       20.00|                 0.00|000002018515|
|20190603|上期所  |石油沥青          |     bu1909     |   卖|投机        |  3110.000|     9|   279900.00|平今              |     28.16|      180.00|                 0.00|000002018689|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  3018.000|     1|    30180.00|开                |      3.04|        0.00|                 0.00|000001188552|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  3018.000|     3|    90540.00|开                |      9.11|        0.00|                 0.00|000001188587|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  3018.000|     1|    30180.00|开                |      3.04|        0.00|                 0.00|000001189459|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  3018.000|     1|    30180.00|开                |      3.04|        0.00|                 0.00|000001189944|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  3018.000|     2|    60360.00|开                |      6.07|        0.00|                 0.00|000001190006|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  3018.000|     1|    30180.00|开                |      3.04|        0.00|                 0.00|000001190121|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  3018.000|     1|    30180.00|开                |      3.04|        0.00|                 0.00|000001190131|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2986.000|     2|    59720.00|平今              |      6.01|      640.00|                 0.00|000001246653|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2986.000|     1|    29860.00|平今              |      3.00|      320.00|                 0.00|000001246654|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2986.000|     7|   209020.00|平今              |     21.03|     2240.00|                 0.00|000001246655|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  3000.000|     9|   270000.00|开                |     27.16|        0.00|                 0.00|000001383891|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  3000.000|     1|    30000.00|开                |      3.02|        0.00|                 0.00|000001383892|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2982.000|     1|    29820.00|平今              |      3.00|      180.00|                 0.00|000001435707|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2982.000|     1|    29820.00|平今              |      3.00|      180.00|                 0.00|000001435749|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2982.000|     1|    29820.00|平今              |      3.00|      180.00|                 0.00|000001435787|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2982.000|     1|    29820.00|平今              |      3.00|      180.00|                 0.00|000001435800|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2982.000|     1|    29820.00|平今              |      3.00|      180.00|                 0.00|000001435801|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2982.000|     1|    29820.00|平今              |      3.00|      180.00|                 0.00|000001436474|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2982.000|     1|    29820.00|平今              |      3.00|      180.00|                 0.00|000001436476|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2982.000|     3|    89460.00|平今              |      9.00|      540.00|                 0.00|000001436480|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  2998.000|     1|    29980.00|开                |      3.02|        0.00|                 0.00|000001754772|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  2998.000|     1|    29980.00|开                |      3.02|        0.00|                 0.00|000001755653|
|20190603|上期所  |石油沥青          |     bu1912     |   卖|投机        |  2998.000|     8|   239840.00|开                |     24.13|        0.00|                 0.00|000001755674|
|20190603|上期所  |石油沥青          |     bu1912     |买   |投机        |  2994.000|    10|   299400.00|平今              |     30.12|      400.00|                 0.00|000001783025|
|20190603|上期所  |天然橡胶          |     ru1909     |   卖|投机        | 11820.000|     2|   236400.00|开                |     10.78|        0.00|                 0.00|000001651484|
|20190603|上期所  |天然橡胶          |     ru1909     |   卖|投机        | 11895.000|     1|   118950.00|开                |      5.42|        0.00|                 0.00|000002008523|
|20190603|上期所  |天然橡胶          |     ru1909     |   卖|投机        | 11900.000|     1|   119000.00|开                |      5.43|        0.00|                 0.00|000002026604|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46080.000|     1|   230400.00|开                |     11.66|        0.00|                 0.00|000000252814|
|20190603|上期所  |铜                |     cu1907     |   卖|投机        | 46130.000|     1|   230650.00|平今              |      0.14|      250.00|                 0.00|000000279407|
|20190603|上期所  |铜                |     cu1907     |   卖|投机        | 46190.000|     1|   230950.00|开                |     11.69|        0.00|                 0.00|000000524721|
